"ODD";"INDICATEUR_DEVDUR";"UNIT_MEASURE";"UNIT_MULT";"OBS_STATUS";"GEO";"GEO_OBJECT";"DEVDUR_COMPOSITE";"SEX";"AGE";"EMPSTA";"PCS";"TYPE_INDICATEUR_DEVDUR";"TIME_PERIOD";"OBS_VALUE"
"ODD3";"3.i8";"PT";"0";"L";"FM";"FRANCE";"_T";"_T";"Y18T64";"32";"_Z";"I_ODD";2024;
"ODD2";"2.i2e";"PT";"0";"L";"F";"FRANCE";"_Z";"_T";"_Z";"_Z";"1_2";"I_ODD";2017;
"ODD3";"3.i8";"PT";"0";"L";"FM";"FRANCE";"4T8";"_T";"Y18T75";"_T";"_Z";"I_ODD";2023;
"ODD3";"3.i2";"_Z";"0";"E";"F";"FRANCE";"CONTAMIN_MOD4";"_T";"_T";"_Z";"_Z";"I_ODD";2022;296
"ODD8";"8.i6";"PT";"0";"L";"FM";"FRANCE";"_Z";"F";"_Z";"_Z";"_Z";"I_ODD";2024;
"ODD8";"8.i5";"HW";"6";"L";"F";"FRANCE";"43.91B";"_T";"_Z";"_Z";"_T";"I_ODD";2022;
"ODD1";"1.i1a";"PT";"0";"A";"FM";"FRANCE";"NIVIEMED_S60";"_T";"_T";"12";"_T";"I_ODD";2017;17.2
"ODD1";"1.i1a";"PT";"0";"A";"FM";"FRANCE";"NIVIEMED_S60";"_T";"Y_GE75";"_T";"_T";"I_ODD";2020;9.6
"ODD1";"1.i1a";"PT";"0";"B";"FM";"FRANCE";"NIVIEMED_S60";"_T";"_T";"12";"_T";"I_ODD";2021;14.6
"ODD8";"8.i6";"PT";"0";"L";"FM";"FRANCE";"_Z";"_T";"_Z";"_Z";"_Z";"I_ODD";2010;
"ODD3";"3.i8";"PT";"0";"L";"FM";"FRANCE";"_Z";"M";"Y18T75";"_T";"_Z";"I_ODD";2023;
"ODD2";"2.i2a";"PT";"0";"L";"FM";"FRANCE";"_Z";"M";"Y_GE15";"_Z";"_Z";"I_ODD";2023;
"ODD5";"5.i5b";"PT";"0";"L";"F_X_D976";"FRANCE";"FPH";"F";"_T";"_Z";"_Z";"I_ODD";2023;
"ODD3";"3.i8";"PT";"0";"A";"FM";"FRANCE";"_Z";"M";"Y35T44";"_T";"_Z";"I_ODD";2017;35.7
"ODD3";"3.i2";"_Z";"0";"E";"F";"FRANCE";"CONTAMIN_MOD3";"_T";"_T";"_Z";"_Z";"I_ODD";2015;96
"ODD3";"3.i8";"PT";"0";"L";"FM";"FRANCE";"_Z";"F";"Y18T75";"_T";"_Z";"I_ODD";2023;
"ODD10";"10.i5";"PT";"0";"A";"F";"FRANCE";"_Z";"_T";"Y30T44";"_Z";"_Z";"I_ODD";2023;98.1
"ODD1";"1.i1a";"PT";"0";"A";"FM";"FRANCE";"NIVIEMED_S60";"_T";"Y50T64";"_T";"_T";"I_ODD";2015;11.5
"ODD1";"1.i1a";"PT";"0";"A";"FM";"FRANCE";"NIVIEMED_S60";"_T";"Y65T74";"_T";"_T";"I_ODD";2016;5.9
"ODD1";"1.i1a";"PT";"0";"L";"FM";"FRANCE";"NIVIEMED_S60";"_T";"_T";"11";"_T";"I_ODD";2024;
"ODD4";"4.i1d";"PT";"0";"A";"F";"FRANCE";"SESC1";"_T";"Y15";"_Z";"_Z";"I_ODD";2018;60.4
"ODD8";"8.i8";"PT";"0";"A";"F";"FRANCE";"EMP_AIDE1";"_T";"Y_LT26";"_Z";"_Z";"I_ODD";2012;17
"ODD9";"9.i6c";"XDC";"6";"A";"F";"FRANCE";"OBJ_SOCECO5";"_Z";"_Z";"_Z";"_Z";"I_ODD";2014;1189.8
"ODD4";"4.i1c";"PT";"0";"L";"F";"FRANCE";"_Z";"F";"Y15";"_Z";"_Z";"I_ODD";2014;
"ODD3";"3.i8";"PT";"0";"A";"FM";"FRANCE";"_Z";"M";"Y18T75";"_T";"_Z";"I_ODD";2010;33.1
"ODD3";"3.i2";"_Z";"0";"E";"F";"FRANCE";"_Z";"_T";"_T";"_Z";"_Z";"I_ODD";2010;6110
"ODD3";"3.i8";"PT";"0";"A";"FM";"FRANCE";"_Z";"F";"Y45T54";"_T";"_Z";"I_ODD";2017;30.8
"ODD5";"5.i5a";"PT";"0";"A";"F";"FRANCE";"_Z";"F";"_T";"_Z";"_Z";"I_ODD";2010;21.5
"ODD5";"5.i5b";"PT";"0";"L";"F_X_D976";"FRANCE";"FPT";"F";"_T";"_Z";"_Z";"I_ODD";2024;
"ODD3";"3.i8";"PT";"0";"A";"FM";"FRANCE";"_Z";"M";"Y18T24";"_T";"_Z";"I_ODD";2019;36.5
"ODD5";"5.i5a";"PT";"0";"R";"F";"FRANCE";"_Z";"F";"_T";"_Z";"_Z";"I_ODD";2021;28.1
"ODD4";"4.i1d";"PT";"0";"L";"F";"FRANCE";"SESC2";"_T";"Y15";"_Z";"_Z";"I_ODD";2013;
"ODD4";"4.i1d";"PT";"0";"L";"F";"FRANCE";"_Z";"F";"Y15";"_Z";"_Z";"I_ODD";2023;
"ODD8";"8.i5";"HW";"6";"L";"F";"FRANCE";"93.12";"_T";"_Z";"_Z";"_T";"I_ODD";2020;
"ODD8";"8.i8";"PT";"0";"R";"F";"FRANCE";"EMP_AIDE1";"_T";"Y_LT26";"_Z";"_Z";"I_ODD";2022;28.3
"ODD8";"8.i8";"PT";"0";"R";"F";"FRANCE";"EMP_AIDE1";"_T";"Y_LT26";"_Z";"_Z";"I_ODD";2015;15.2
"ODD2";"2.i2a";"PT";"0";"L";"FM";"FRANCE";"_Z";"_T";"Y_GE15";"_Z";"_Z";"I_ODD";2017;
"ODD10";"10.i5";"PT";"0";"A";"F";"FRANCE";"_Z";"_T";"Y_GE75";"_Z";"_Z";"I_ODD";2010;9
